                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.09,                 2.5542,                 1.4017,                0.54558,                0.86154,                0.71238,                0.51251,                0.97219,                 1.7663,                 1.1587,              0.0004724,              0.0004724,              0.0004724
                      2,                 1.0795,                      2,                 1.4018,                0.85108,                0.94408,                0.93606,                0.73794,                0.89241,                 1.6115,                 1.0938,             0.00088611,             0.00088611,             0.00088611
                      3,                 1.0704,                 1.7729,                  1.352,                0.75411,                0.81722,                 0.9143,                0.64757,                 1.0667,                 1.6995,                 1.1513,               0.001237,               0.001237,               0.001237
                      4,                 1.0746,                 1.6704,                 1.3467,                0.90538,                 0.9737,                0.96149,                0.71473,                0.95671,                  1.288,                 1.0975,              0.0011461,              0.0011461,              0.0011461
                      5,                   1.08,                 1.6077,                 1.3606,                0.87856,                0.87222,                0.94713,                0.75126,                0.91432,                 1.2913,                 1.0772,              0.0010517,              0.0010517,              0.0010517
                      6,                0.97157,                 2.0225,                 1.3728,                0.89809,                0.94748,                0.98033,                0.72572,                 1.0249,                 1.2679,                 1.1022,             0.00095743,             0.00095743,             0.00095743
                      7,                0.94675,                 1.7867,                 1.3244,                0.98275,                0.95594,                0.97646,                0.75373,                  0.951,                 1.2152,                 1.1157,             0.00086312,             0.00086312,             0.00086312
                      8,                0.89877,                 1.6234,                 1.2852,                 0.9594,                0.94992,                0.96843,                0.73001,                0.93221,                 1.2296,                 1.1088,              0.0007688,              0.0007688,              0.0007688
                      9,                0.88601,                 1.5806,                 1.2906,                0.97771,                0.94121,                0.97942,                0.72175,                0.94054,                 1.1507,                 1.0895,             0.00067449,             0.00067449,             0.00067449
                     10,                 0.8624,                 1.5089,                 1.2407,                0.98671,                0.94726,                0.98664,                0.75184,                0.91648,                 1.0033,                 1.0911,             0.00058017,             0.00058017,             0.00058017
                     11,                0.81123,                 1.3785,                 1.2176,                 0.9742,                 0.9376,                0.98799,                0.76494,                0.84925,                 0.9487,                 1.0291,             0.00048586,             0.00048586,             0.00048586
                     12,                0.79886,                  1.311,                 1.1831,                0.89998,                0.98628,                0.99184,                0.76334,                0.86289,                0.93443,                 1.0143,             0.00039155,             0.00039155,             0.00039155
                     13,                0.77817,                 1.2194,                 1.1716,                0.98792,                0.94414,                0.98949,                0.79569,                0.79215,                0.87458,                0.97769,             0.00029723,             0.00029723,             0.00029723
                     14,                0.76696,                 1.2234,                 1.1493,                0.97233,                0.95045,                0.98949,                 0.7772,                0.83019,                0.87782,                 1.0021,             0.00020292,             0.00020292,             0.00020292
                     15,                0.75874,                 1.1551,                 1.1472,                0.98853,                 0.9473,                0.98708,                0.78044,                0.83079,                0.85777,                0.99839,              0.0001086,              0.0001086,              0.0001086
